number,specimen,code,genus,taxon,family,category,TL_m,BZW_mm,Age_100
1,Delphinapterus_1870.6.23.1,Deln1,Delphinapterus,beluga,Monodontidae,2-late/new,1.8,205.2,100
2,Delphinapterus_1932.60,Delj1,Delphinapterus,beluga,Monodontidae,3-immature,2.5,245,110
3,Delphinapterus_1933.10.13.1,Deln2,Delphinapterus,beluga,Monodontidae,2-late/new,2.1,210,100
4,Delphinapterus_1997.554,Delf3,Delphinapterus,beluga,Monodontidae,1-early,0.33,37.2,22.61314867
5,Delphinapterus_1997.555,Delf2,Delphinapterus,beluga,Monodontidae,1-early,0.26,35.4,17.74262434
6,Delphinapterus_1997.556,Delf1,Delphinapterus,beluga,Monodontidae,1-early,0.18,21.7,12.52420542
7,Delphinapterus_USNM22207,Delj2,Delphinapterus,beluga,Monodontidae,3-immature,3.07,245.3,110
8,Delphinapterus_USNM238106,Dela2,Delphinapterus,beluga,Monodontidae,4-adult,3.5,275.8,120
9,Delphinapterus_USNM305071,Dela1,Delphinapterus,beluga,Monodontidae,4-adult,3.5,279.1,120
10,Globicephala.mac_1853.9.18.26,Gloj1,Globicephala,short-finned_pilot_whale,Delphinidae,3-immature,2.5,230.596,110
11,Globicephala.mac_1912.10.27.1,Gloa1,Globicephala,short-finned_pilot_whale,Delphinidae,4-adult,4.2,474.421,120
12,Globicephala.mel_1855.12.24.427,Glof2,Globicephala,long-finned_pilot_whale,Delphinidae,1-early,0.35,49.55,19.4183611
13,Globicephala.mel_1868.1.30.2,Gloj2,Globicephala,long-finned_pilot_whale,Delphinidae,3-immature,2.72,279.168,110
14,Globicephala.mel_1939.2.18.2,Glon1,Globicephala,long-finned_pilot_whale,Delphinidae,2-late/new,1.92,160.22,100
15,Globicephala.mel_1954.3.25.1,Glon2,Globicephala,long-finned_pilot_whale,Delphinidae,2-late/new,2.2,150.218,100
16,Globicephala.mel_2021.3,Glof3,Globicephala,long-finned_pilot_whale,Delphinidae,2-late/new,1,102.04,60
17,Globicephala.mel_MM1946,Gloa2,Globicephala,long-finned_pilot_whale,Delphinidae,4-adult,3.5,398,120
18,Globicephala.mel_USNM012754,Glof1,Globicephala,long-finned_pilot_whale,Delphinidae,1-early,0.224,28.86,12.42775111
19,Globicephala.mel_USNM241129,Gloe1,Globicephala,long-finned_pilot_whale,Delphinidae,1-early,0.132,20.31,7.323496188
20,Lagenorhynchus.acu_1846.7.11.2,Lagf3,Lagenorhynchus,Atlantic_white-sided_dolphin,Delphinidae,2-late/new,0.61,73.5,55.45
21,Lagenorhynchus.acu_USNM504196,Laga1,Lagenorhynchus,Atlantic_white-sided_dolphin,Delphinidae,4-adult,2.48,229.599,120
22,Lagenorhynchus.alb_1847.4.4.2,Lagn1,Lagenorhynchus,white-beaked_dolphin,Delphinidae,2-late/new,1.21,100.023,100
23,Lagenorhynchus.alb_1966.9.16.1,Lagj1,Lagenorhynchus,white-beaked_dolphin,Delphinidae,3-immature,1.75,158.176,110
24,Lagenorhynchus.alb_AMNH37162,Laga2,Lagenorhynchus,white-beaked_dolphin,Delphinidae,4-adult,2.07,202.175,120
25,Lagenorhynchus.obl_1937.9.1.1,Lagj2,Lagenorhynchus,Pacific_white-sided_dolphin,Delphinidae,3-immature,1.64,177.882,110
26,Lagenorhynchus.sp_1997.549,Lagf1,Lagenorhynchus,white-sided_dolphin,Delphinidae,1-early,0.405,48.88,36.82
27,Lagenorhynchus.sp_1997.550,Lagf2,Lagenorhynchus,white-sided_dolphin,Delphinidae,1-early,0.47,60.81,42.73
28,Phocoena.diot_1922.11.3.1,Phoj1,Phocoena,spectacled_porpoise,Phocoenidae,3-immature,1.5,130.228,110
29,Phocoena.pho_1865.12.8.43,Phoj2,Phocoena,harbour_porpoise,Phocoenidae,3-immature,1.25,120.748,110
30,Phocoena.pho_1889.2.14.11,Phof1,Phocoena,harbour_porpoise,Phocoenidae,1-early,0.24,38.44,29.9539131
31,Phocoena.pho_1939.17,Phon1,Phocoena,harbour_porpoise,Phocoenidae,2-late/new,0.8,96.0072,100
